STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,HPMS16_CRACKING_PERCENT_CRCP,MEPDG_PUNCHOUTS_CRCP
19,Iowa,5046,05/18/2004,2,11
51,Virginia,5010,08/22/2000,2,0
51,Virginia,5010,11/20/1997,1,0
48,Texas,5301,10/20/2009,0,0
48,Texas,5301,06/03/2002,1,0
48,Texas,5301,02/13/1997,1,0
48,Texas,5301,08/04/1993,,0
48,Texas,5301,04/16/1991,1,0
48,Texas,5301,06/22/1999,1,0
48,Texas,5301,09/20/2012,1,0
48,Texas,5301,08/11/2014,1,0
18,Indiana,5518,05/15/1993,1,0
46,South Dakota,5040,08/13/2002,1,0
40,Oklahoma,4166,11/18/2009,1,0
40,Oklahoma,4166,07/22/2002,1,0
40,Oklahoma,4166,11/01/1994,0,0
40,Oklahoma,4166,11/03/1992,0,0
40,Oklahoma,4166,10/09/1991,0,0
40,Oklahoma,4166,08/18/1997,1,0
40,Oklahoma,4166,09/27/1999,1,0
40,Oklahoma,4166,03/21/2013,1,0
40,Oklahoma,4166,09/04/2015,0,0
17,Illinois,5843,08/05/1998,1,11
17,Illinois,5843,04/30/2002,14,11
39,Ohio,5003,04/15/2004,1,0
39,Ohio,5003,03/22/2001,0,0
39,Ohio,5003,07/13/1994,0,0
39,Ohio,5003,06/16/2011,1,0
39,Ohio,5003,08/20/2009,1,11
39,Ohio,5003,05/30/2012,1,0
48,Texas,5283,10/20/2009,0,0
48,Texas,5283,06/19/2002,0,0
48,Texas,5283,04/15/1991,0,0
48,Texas,5283,04/20/1999,0,0
48,Texas,5283,09/26/2012,0,0
48,Texas,5283,08/03/1993,0,0
48,Texas,5283,02/13/1997,0,0
48,Texas,5283,08/12/2014,0,0
1,Alabama,5008,03/31/1993,1,0
1,Alabama,5008,02/17/2004,1,0
1,Alabama,5008,03/03/1998,1,0
1,Alabama,5008,10/26/2011,1,0
1,Alabama,5008,01/29/2013,1,0
46,South Dakota,5025,09/02/2004,0,0
46,South Dakota,5025,05/25/2011,0,0
46,South Dakota,5025,06/22/1999,0,0
46,South Dakota,5025,08/22/2002,0,0
46,South Dakota,5025,07/15/2009,0,0
29,Missouri,5047,02/17/1999,0,0
29,Missouri,5047,06/14/2002,0,0
41,Oregon,7081,06/20/2011,1,0
41,Oregon,7081,04/19/1996,0,0
41,Oregon,7081,10/13/1998,0,0
41,Oregon,7081,08/07/2001,1,0
41,Oregon,7081,04/10/2003,0,0
41,Oregon,7081,06/15/2009,0,0
41,Oregon,7081,10/04/2016,0,0
40,Oklahoma,4158,11/19/2009,0,0
40,Oklahoma,4158,07/18/2002,0,0
40,Oklahoma,4158,11/01/1994,0,0
40,Oklahoma,4158,11/04/1992,0,0
40,Oklahoma,4158,10/10/1991,0,0
40,Oklahoma,4158,05/21/1997,0,0
40,Oklahoma,4158,09/28/1999,0,0
40,Oklahoma,4158,03/19/2013,0,0
40,Oklahoma,4158,08/31/2015,0,0
37,North Carolina,5037,11/13/2001,0,0
37,North Carolina,5037,12/08/2004,0,0
37,North Carolina,5037,01/29/1996,0,0
37,North Carolina,5037,03/30/1999,0,0
28,Mississippi,5805,03/07/1991,0,0
17,Illinois,5151,07/07/1989,16,0
5,Arkansas,5805,12/07/2010,1,0
5,Arkansas,5805,10/01/2003,1,0
5,Arkansas,5805,09/10/1991,0,0
5,Arkansas,5805,08/04/1997,1,0
5,Arkansas,5805,06/19/2000,1,0
5,Arkansas,5805,05/07/2013,0,0
5,Arkansas,5805,11/28/1994,0,0
42,Pennsylvania,5020,11/13/1997,1,0
42,Pennsylvania,5020,08/06/1998,1,0
42,Pennsylvania,5020,05/06/1999,2,0
26,Michigan,5363,05/21/1993,10,21
26,Michigan,5363,05/19/1997,15,158
51,Virginia,5009,04/10/2002,,32
51,Virginia,5009,07/22/2009,43,0
51,Virginia,5009,12/08/2004,37,0
51,Virginia,5009,12/18/1996,1,0
51,Virginia,5009,06/08/1999,2,0
51,Virginia,5009,07/21/2011,38,0
51,Virginia,5009,05/18/2015,38,0
24,Maryland,5807,11/01/2000,1,0
24,Maryland,5807,07/15/2003,1,0
24,Maryland,5807,11/18/1997,0,0
48,Texas,5274,08/04/1993,0,0
48,Texas,5274,04/16/1991,0,0
48,Texas,5274,04/16/1999,0,0
48,Texas,5274,02/11/1997,0,0
28,Mississippi,5803,11/10/2010,16,137
28,Mississippi,5803,03/17/2003,2,53
28,Mississippi,5803,07/14/1993,1,0
28,Mississippi,5803,03/05/1991,0,0
28,Mississippi,5803,01/10/2000,3,0
28,Mississippi,5803,06/14/2012,42,0
28,Mississippi,5803,11/29/1995,1,21
28,Mississippi,3099,03/07/1991,0,0
17,Illinois,5869,08/02/1994,1,0
17,Illinois,5869,07/13/2004,1,0
17,Illinois,5869,08/04/1998,2,0
17,Illinois,5869,08/30/2000,1,0
5,Arkansas,5803,12/06/2010,1,0
5,Arkansas,5803,10/02/2003,0,0
5,Arkansas,5803,11/29/1994,0,0
5,Arkansas,5803,09/10/1991,0,0
5,Arkansas,5803,06/09/1997,0,0
5,Arkansas,5803,06/19/2000,0,0
5,Arkansas,5803,05/06/2013,1,0
13,Georgia,5023,04/09/1991,0,0
13,Georgia,5023,04/22/1998,1,0
13,Georgia,5023,10/27/1994,0,0
48,Texas,5317,10/19/2009,1,0
48,Texas,5317,06/17/2002,1,0
48,Texas,5317,02/11/1997,1,0
48,Texas,5317,08/04/1993,1,0
48,Texas,5317,04/16/1991,1,11
48,Texas,5317,06/21/1999,1,0
48,Texas,5317,09/18/2012,1,0
48,Texas,5317,08/08/2014,1,0
48,Texas,5024,09/09/2009,1,0
48,Texas,5024,03/08/2002,0,0
48,Texas,5024,04/27/2005,1,0
48,Texas,5024,04/26/1993,0,0
48,Texas,5024,05/15/1991,1,0
48,Texas,5024,06/03/1997,1,0
48,Texas,5024,05/20/1999,1,0
48,Texas,5024,06/25/2012,1,0
48,Texas,5024,07/10/1995,1,0
48,Texas,5024,09/09/2014,1,0
17,Illinois,9267,07/07/1989,0,0
48,Texas,5154,04/26/1993,0,0
48,Texas,5154,05/15/1991,0,0
48,Texas,5154,06/03/1997,0,0
48,Texas,5154,05/20/1999,1,0
48,Texas,5154,06/08/2001,1,0
48,Texas,5154,07/10/1995,0,0
13,Georgia,4118,02/25/2002,11,11
13,Georgia,4118,10/26/1994,1,0
13,Georgia,4118,04/08/1991,0,0
13,Georgia,4118,05/13/1997,9,0
13,Georgia,4118,03/16/1999,10,0
40,Oklahoma,4155,11/19/2009,0,0
40,Oklahoma,4155,07/18/2002,0,0
40,Oklahoma,4155,10/10/1991,0,0
40,Oklahoma,4155,05/21/1997,0,0
40,Oklahoma,4155,09/28/1999,0,0
40,Oklahoma,4155,03/19/2013,0,0
40,Oklahoma,4155,11/01/1994,0,0
40,Oklahoma,4155,11/04/1992,0,0
40,Oklahoma,4155,09/01/2015,0,0
17,Illinois,5908,03/24/1993,0,0
17,Illinois,5908,08/11/1998,0,0
17,Illinois,5908,03/09/2001,1,0
17,Illinois,5908,03/19/2004,2,0
48,Texas,5334,05/20/1993,0,0
48,Texas,5334,11/07/1991,0,0
48,Texas,5334,05/15/1997,1,0
48,Texas,5334,08/24/1999,0,0
48,Texas,5334,08/11/1995,0,0
28,Mississippi,5006,03/22/2000,1,0
28,Mississippi,5006,03/12/2003,1,0
28,Mississippi,5006,07/14/1993,0,0
28,Mississippi,5006,03/04/1991,0,0
28,Mississippi,5006,11/16/1995,0,0
17,Illinois,5020,07/15/2004,1,0
17,Illinois,5020,08/12/1998,0,0
17,Illinois,5020,03/07/2001,0,0
17,Illinois,5020,07/12/2007,3,0
17,Illinois,5020,06/15/2010,,0
17,Illinois,5020,06/14/2012,,0
41,Oregon,5005,06/16/2011,0,0
41,Oregon,5005,06/23/1994,0,0
41,Oregon,5005,04/01/1999,0,0
41,Oregon,5005,04/21/2002,0,0
41,Oregon,5005,09/14/2003,1,0
41,Oregon,5005,06/11/2009,0,0
41,Oregon,5005,06/11/2015,1,0
9,Connecticut,5001,07/27/1995,1,0
9,Connecticut,5001,04/09/1996,1,0
48,Texas,5310,10/27/2009,0,0
48,Texas,5310,06/21/2002,0,0
48,Texas,5310,02/11/1997,0,0
48,Texas,5310,08/03/1993,0,0
48,Texas,5310,04/17/1991,0,0
48,Texas,5310,04/22/1999,0,0
48,Texas,5310,09/24/2012,0,0
48,Texas,5310,08/11/2014,0,0
45,South Carolina,5035,06/08/1993,5,0
45,South Carolina,5035,02/04/2003,17,169
45,South Carolina,5035,02/27/2002,14,137
45,South Carolina,5035,03/17/1992,3,0
45,South Carolina,5035,06/25/1997,6,0
45,South Carolina,5035,02/10/1999,10,0
18,Indiana,5043,02/02/1999,0,0
41,Oregon,5008,04/29/1996,3,0
41,Oregon,5008,10/12/1998,5,0
41,Oregon,5008,08/06/2001,5,0
41,Oregon,5008,04/09/2003,6,0
46,South Dakota,5020,10/05/1993,0,0
46,South Dakota,5020,09/01/2004,0,0
46,South Dakota,5020,05/25/2011,1,0
46,South Dakota,5020,06/24/1999,0,0
46,South Dakota,5020,08/19/2002,0,0
46,South Dakota,5020,07/14/2009,0,0
45,South Carolina,5017,06/07/1993,0,0
45,South Carolina,5017,04/22/2004,0,0
45,South Carolina,5017,02/28/2002,0,0
45,South Carolina,5017,03/16/1992,0,0
45,South Carolina,5017,06/24/1997,0,0
45,South Carolina,5017,02/09/1999,0,0
45,South Carolina,5017,05/17/2012,0,0
45,South Carolina,5017,05/12/2016,0,0
45,South Carolina,5017,08/14/2014,0,0
48,Texas,5035,08/06/1993,0,0
48,Texas,5035,12/04/2003,0,0
48,Texas,5035,01/29/1992,0,0
48,Texas,5035,08/10/1999,0,0
48,Texas,5035,01/23/2001,0,0
48,Texas,5035,09/23/2012,0,0
48,Texas,5035,06/30/1995,0,0
48,Texas,5035,08/10/2014,0,0
51,Virginia,5008,02/02/2000,0,0
51,Virginia,5008,02/26/1996,0,0
51,Virginia,5008,10/26/2008,1,21
51,Virginia,5008,04/24/2003,0,0
51,Virginia,5008,07/11/2011,2,42
51,Virginia,5008,06/01/2014,4,0
37,North Carolina,5827,03/29/2000,1,11
37,North Carolina,5827,03/14/2002,1,0
37,North Carolina,5827,02/04/2003,2,0
37,North Carolina,5827,04/03/1996,1,0
37,North Carolina,5827,12/17/1996,1,0
42,Pennsylvania,1598,07/27/1995,1,0
41,Oregon,5021,06/14/2011,4,0
41,Oregon,5021,04/18/2002,1,0
41,Oregon,5021,08/16/2004,1,0
41,Oregon,5021,06/27/1994,1,0
41,Oregon,5021,03/30/1999,1,0
41,Oregon,5021,06/10/2009,4,0
41,Oregon,5021,06/10/2015,4,0
48,Texas,5328,10/22/2009,0,0
48,Texas,5328,12/03/2003,0,0
48,Texas,5328,03/10/2005,0,0
48,Texas,5328,08/05/1993,0,0
48,Texas,5328,06/20/1991,0,0
48,Texas,5328,04/15/1998,0,0
48,Texas,5328,01/22/2001,0,0
48,Texas,5328,09/21/2012,0,0
48,Texas,5328,06/03/2014,0,0
48,Texas,5328,03/24/2016,0,0
55,Wisconsin,5040,11/07/1994,0,0
28,Mississippi,5025,07/13/1993,0,0
28,Mississippi,5025,02/16/2010,0,0
28,Mississippi,5025,05/09/2003,0,0
28,Mississippi,5025,03/06/1991,0,0
28,Mississippi,5025,12/02/1999,0,0
28,Mississippi,5025,11/07/2012,0,0
28,Mississippi,5025,01/27/2014,0,0
48,Texas,3569,10/23/2009,12,0
48,Texas,3569,06/05/2002,8,0
48,Texas,3569,06/26/1991,0,0
48,Texas,3569,08/13/1993,1,0
48,Texas,3569,07/16/1997,10,0
48,Texas,3569,05/24/1999,8,0
48,Texas,3569,09/28/2012,12,0
48,Texas,3569,07/21/1995,10,0
48,Texas,3569,09/30/2015,1,11
48,Texas,3569,04/25/2017,1,11
48,Texas,5335,09/29/2009,2,0
48,Texas,5335,05/19/1993,1,0
48,Texas,5335,06/26/2002,1,0
48,Texas,5335,06/11/1991,1,0
48,Texas,5335,05/14/1997,1,0
48,Texas,5335,08/24/1999,1,0
48,Texas,5335,03/12/2012,1,0
48,Texas,5335,08/10/1995,1,0
10,Delaware,5004,03/16/1993,10,0
17,Illinois,5849,07/27/1994,2,0
17,Illinois,5849,08/17/1998,4,0
41,Oregon,5006,04/30/1996,0,0
41,Oregon,5006,10/09/1998,0,0
41,Oregon,5006,08/06/2001,0,0
41,Oregon,5006,04/08/2003,0,0
51,Virginia,2564,05/31/2001,3,0
51,Virginia,2564,04/17/1997,1,0
51,Virginia,2564,03/17/2004,4,0
51,Virginia,2564,07/21/2009,8,0
4,Arizona,7079,02/19/2004,1,0
4,Arizona,7079,11/18/1997,1,0
4,Arizona,7079,01/21/1999,0,0
4,Arizona,7079,03/08/1995,0,0
4,Arizona,7079,02/08/2002,1,0
16,Idaho,5025,08/01/1995,4,0
40,Oklahoma,5021,11/19/2009,0,0
40,Oklahoma,5021,07/19/2002,0,0
40,Oklahoma,5021,11/04/1992,0,0
40,Oklahoma,5021,11/01/1994,0,0
40,Oklahoma,5021,10/09/1991,0,0
40,Oklahoma,5021,05/21/1997,0,0
40,Oklahoma,5021,09/28/1999,1,0
40,Oklahoma,5021,03/20/2013,0,0
40,Oklahoma,5021,09/03/2015,0,0
48,Texas,5278,10/01/2009,0,0
48,Texas,5278,07/08/1993,0,0
48,Texas,5278,05/05/2004,1,0
48,Texas,5278,09/20/2002,1,0
48,Texas,5278,05/20/1991,0,0
48,Texas,5278,06/11/1997,1,0
48,Texas,5278,08/11/1999,1,0
48,Texas,5278,03/16/2012,1,0
48,Texas,5278,06/05/1995,0,0
48,Texas,5278,03/15/2016,1,0
41,Oregon,5022,06/15/2011,1,0
41,Oregon,5022,05/12/2004,1,0
41,Oregon,5022,05/23/1996,0,0
41,Oregon,5022,03/31/1999,0,0
41,Oregon,5022,04/18/2002,0,0
41,Oregon,5022,06/09/2015,1,0
48,Texas,5287,02/14/1997,0,0
48,Texas,5287,08/03/1993,0,0
48,Texas,5287,04/15/1991,0,0
48,Texas,5287,06/22/1999,1,0
38,North Dakota,5002,09/28/1993,1,0
19,Iowa,5042,08/31/1994,1,0
19,Iowa,5042,05/19/2004,1,21
19,Iowa,5042,09/29/1999,1,11
19,Iowa,5042,02/27/2002,1,11
45,South Carolina,5034,06/08/1993,0,0
45,South Carolina,5034,04/20/2004,1,11
45,South Carolina,5034,02/27/2002,0,0
45,South Carolina,5034,03/17/1992,0,0
45,South Carolina,5034,06/25/1997,0,0
45,South Carolina,5034,02/10/1999,0,0
48,Texas,5323,05/19/1993,3,0
48,Texas,5323,06/25/2002,19,0
48,Texas,5323,06/11/1991,2,0
48,Texas,5323,05/14/1997,6,11
48,Texas,5323,06/16/1999,13,32
48,Texas,5323,08/10/1995,3,0
48,Texas,3779,09/30/2010,1,0
48,Texas,3779,07/09/1993,0,0
48,Texas,3779,10/11/2001,0,0
48,Texas,3779,06/12/1997,0,0
48,Texas,3779,07/22/2004,0,0
48,Texas,3779,08/15/2012,1,0
48,Texas,3779,11/07/1995,0,0
48,Texas,3779,03/16/2016,2,0
48,Texas,5284,10/20/2009,0,0
48,Texas,5284,11/05/2002,0,0
48,Texas,5284,08/03/1993,0,0
48,Texas,5284,04/15/1991,0,0
48,Texas,5284,04/21/1999,0,0
48,Texas,5284,09/25/2012,0,0
48,Texas,5284,02/13/1997,0,0
48,Texas,5284,08/12/2014,0,0
