STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,CN_ASSIGN_DATE,CN_CHANGE_REASON,CN_CHANGE_REASON_EXP,GPS_SPS,GPS_SPS_EXP,EXPERIMENT_NO,EXPERIMENT_NO_EXP,STATUS_EXP,STATUS,ASSIGN_DATE,DEASSIGN_DATE,SEAS_ID,SUPPLEMENTAL,RECORD_STATUS,EXP_SECT_RS,BASIC_INFO_RS,PAV_STRUCT_RS,TRAFFIC_RS,CLIMATIC_RS
1,Alabama,5008,1,01/01/1987,,,G,General Pavement Studies,5,Continuously Reinforced Concrete Pavement (CRCP),Out-of-study,O,01/01/1987,05/26/2015,,,E,E,E,E,E,E
1,Alabama,6012,1,01/01/1987,,,G,General Pavement Studies,6A,Existing AC Overlay on AC Pavement ,Out-of-study,O,01/01/1987,11/01/2000,,,E,E,E,E,E,E
1,Alabama,6019,1,01/01/1987,,,G,General Pavement Studies,6A,Existing AC Overlay on AC Pavement ,Out-of-study,O,01/01/1987,01/21/1994,,,E,E,E,E,E,E
1,Alabama,6019,2,06/15/1988,34,Fog Seal Coat,G,General Pavement Studies,6A,Existing AC Overlay on AC Pavement ,Out-of-study,O,01/01/1987,01/21/1994,,,E,E,E,E,E,E
1,Alabama,A300,1,01/01/1987,,,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,01/30/2006,,,E,E,E,,E,E
1,Alabama,A310,1,01/01/1987,,,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,01/30/2006,,,E,E,E,E,E,E
1,Alabama,A310,2,07/15/1990,19,Asphalt Concrete Overlay,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,01/30/2006,,,E,E,E,E,E,E
1,Alabama,A320,1,01/01/1987,,,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,01/30/2006,,,E,E,E,E,E,E
1,Alabama,A320,2,08/06/1990,33,Slurry Seal Coat,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,01/30/2006,,,E,E,E,E,E,E
1,Alabama,A330,1,01/01/1987,,,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,01/30/2006,,,E,E,E,E,E,E
1,Alabama,A330,2,08/06/1990,1,Crack Sealing,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,01/30/2006,,,E,E,E,E,E,E
1,Alabama,A340,1,01/01/1987,,,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,01/30/2006,,,E,E,E,E,E,E
1,Alabama,A350,1,01/01/1987,,,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,01/30/2006,,,E,E,E,E,E,E
1,Alabama,A350,2,08/06/1990,31,Aggregate Seal Coat,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,01/30/2006,,,E,E,E,E,E,E
1,Alabama,B300,1,01/01/1987,,,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,06/08/1998,,,E,E,E,,E,E
1,Alabama,B310,1,01/01/1987,,,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,06/08/1998,,,E,E,E,E,E,E
1,Alabama,B310,2,11/15/1990,19,Asphalt Concrete Overlay,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,06/08/1998,,,E,E,E,E,E,E
1,Alabama,B320,1,01/01/1987,,,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,06/08/1998,,,E,E,E,E,E,E
1,Alabama,B320,2,08/20/1990,33,Slurry Seal Coat,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,06/08/1998,,,E,E,E,E,E,E
1,Alabama,B330,1,01/01/1987,,,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,06/08/1998,,,E,E,E,E,E,E
1,Alabama,B340,1,01/01/1987,,,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,06/08/1998,,,E,E,E,E,E,E
1,Alabama,B350,1,01/01/1987,,,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,06/08/1998,,,E,E,E,E,E,E
1,Alabama,B350,2,08/20/1990,31,Aggregate Seal Coat,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,06/08/1998,,,E,E,E,E,E,E
1,Alabama,C300,1,01/01/1987,,,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,06/15/2003,,,E,E,E,,E,E
1,Alabama,C310,1,01/01/1987,,,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,06/15/2003,,,E,E,E,E,E,E
1,Alabama,C310,2,07/15/1990,19,Asphalt Concrete Overlay,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,06/15/2003,,,E,E,E,E,E,E
1,Alabama,C320,1,01/01/1987,,,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,06/15/2003,,,E,E,E,E,E,E
1,Alabama,C320,2,08/08/1990,33,Slurry Seal Coat,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,06/15/2003,,,E,E,E,E,E,E
1,Alabama,C330,1,01/01/1987,,,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,06/15/2003,,,E,E,E,E,E,E
1,Alabama,C330,2,08/08/1990,1,Crack Sealing,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,06/15/2003,,,E,E,E,E,E,E
1,Alabama,C340,1,01/01/1987,,,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,06/15/2003,,,E,E,E,E,E,E
1,Alabama,C350,1,01/01/1987,,,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,03/31/1999,,,E,E,E,E,E,E
1,Alabama,C350,2,08/08/1990,31,Aggregate Seal Coat,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,03/31/1999,,,E,E,E,E,E,E
5,Arkansas,0100,1,01/01/1993,,,S,Specific Pavement Studies,1,"Strategic Study of Structural Factors for Flexible Pavements, new/reconstructed AC pavements",Out-of-study,O,01/01/1993,11/15/2008,,,E,E,E,,E,E
5,Arkansas,0113,1,01/01/1993,,,S,Specific Pavement Studies,1,"Strategic Study of Structural Factors for Flexible Pavements, new/reconstructed AC pavements",Out-of-study,O,01/01/1993,11/15/2008,,,E,E,E,E,E,E
5,Arkansas,0114,1,01/01/1993,,,S,Specific Pavement Studies,1,"Strategic Study of Structural Factors for Flexible Pavements, new/reconstructed AC pavements",Out-of-study,O,01/01/1993,11/15/2008,,,E,E,E,E,E,E
5,Arkansas,0115,1,01/01/1993,,,S,Specific Pavement Studies,1,"Strategic Study of Structural Factors for Flexible Pavements, new/reconstructed AC pavements",Out-of-study,O,01/01/1993,11/15/2008,,,E,E,E,E,E,E
5,Arkansas,0116,1,01/01/1993,,,S,Specific Pavement Studies,1,"Strategic Study of Structural Factors for Flexible Pavements, new/reconstructed AC pavements",Out-of-study,O,01/01/1993,11/15/2008,,,E,E,E,E,E,E
5,Arkansas,0117,1,01/01/1993,,,S,Specific Pavement Studies,1,"Strategic Study of Structural Factors for Flexible Pavements, new/reconstructed AC pavements",Out-of-study,O,01/01/1993,11/15/2008,,,E,E,E,E,E,E
5,Arkansas,0118,1,01/01/1993,,,S,Specific Pavement Studies,1,"Strategic Study of Structural Factors for Flexible Pavements, new/reconstructed AC pavements",Out-of-study,O,01/01/1993,11/15/2008,,,E,E,E,E,E,E
5,Arkansas,0119,1,01/01/1993,,,S,Specific Pavement Studies,1,"Strategic Study of Structural Factors for Flexible Pavements, new/reconstructed AC pavements",Out-of-study,O,01/01/1993,06/15/2004,,,E,E,E,E,E,E
5,Arkansas,0120,1,01/01/1993,,,S,Specific Pavement Studies,1,"Strategic Study of Structural Factors for Flexible Pavements, new/reconstructed AC pavements",Out-of-study,O,01/01/1993,06/15/2004,,,E,E,E,E,E,E
5,Arkansas,0121,1,01/01/1993,,,S,Specific Pavement Studies,1,"Strategic Study of Structural Factors for Flexible Pavements, new/reconstructed AC pavements",Out-of-study,O,01/01/1993,06/15/2004,,,E,E,E,E,E,E
5,Arkansas,0122,1,01/01/1993,,,S,Specific Pavement Studies,1,"Strategic Study of Structural Factors for Flexible Pavements, new/reconstructed AC pavements",Out-of-study,O,01/01/1993,11/15/2008,,,E,E,E,E,E,E
5,Arkansas,0123,1,01/01/1993,,,S,Specific Pavement Studies,1,"Strategic Study of Structural Factors for Flexible Pavements, new/reconstructed AC pavements",Out-of-study,O,01/01/1993,11/15/2008,,,E,E,E,E,E,E
5,Arkansas,0124,1,01/01/1993,,,S,Specific Pavement Studies,1,"Strategic Study of Structural Factors for Flexible Pavements, new/reconstructed AC pavements",Out-of-study,O,01/01/1993,11/15/2008,,,E,E,E,E,E,E
5,Arkansas,0200,1,09/01/1993,,,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",Out-of-study,O,09/01/1993,08/20/2013,,,E,E,E,,E,E
5,Arkansas,0213,1,09/01/1993,,,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",Out-of-study,O,09/01/1993,11/15/2008,,,E,E,E,E,E,E
5,Arkansas,0213,2,02/04/1997,3,Lane-Shoulder Longitudinal Joint Sealing,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",Out-of-study,O,09/01/1993,11/15/2008,,,E,E,E,E,E,E
5,Arkansas,0214,1,09/01/1993,,,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",Out-of-study,O,09/01/1993,08/20/2013,,,E,E,E,E,E,E
5,Arkansas,0214,2,02/04/1997,3,Lane-Shoulder Longitudinal Joint Sealing,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",Out-of-study,O,09/01/1993,08/20/2013,,,E,E,E,E,E,E
5,Arkansas,0215,1,09/01/1993,,,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",Out-of-study,O,09/01/1993,08/20/2013,,,E,E,E,E,E,E
5,Arkansas,0215,2,02/04/1997,3,Lane-Shoulder Longitudinal Joint Sealing,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",Out-of-study,O,09/01/1993,08/20/2013,,,E,E,E,E,E,E
5,Arkansas,0216,1,09/01/1993,,,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",Out-of-study,O,09/01/1993,08/20/2013,,,E,E,E,E,E,E
5,Arkansas,0216,2,02/04/1997,3,Lane-Shoulder Longitudinal Joint Sealing,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",Out-of-study,O,09/01/1993,08/20/2013,,,E,E,E,E,E,E
5,Arkansas,0217,1,09/01/1993,,,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",Out-of-study,O,09/01/1993,08/20/2013,,,E,E,E,E,E,E
5,Arkansas,0217,2,02/04/1997,3,Lane-Shoulder Longitudinal Joint Sealing,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",Out-of-study,O,09/01/1993,08/20/2013,,,E,E,E,E,E,E
5,Arkansas,0218,1,09/01/1993,,,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",Out-of-study,O,09/01/1993,08/20/2013,,,E,E,E,E,E,E
5,Arkansas,0218,2,02/04/1997,3,Lane-Shoulder Longitudinal Joint Sealing,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",Out-of-study,O,09/01/1993,08/20/2013,,,E,E,E,E,E,E
5,Arkansas,0219,1,09/01/1993,,,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",Out-of-study,O,09/01/1993,08/20/2013,,,E,E,E,E,E,E
5,Arkansas,0219,2,02/04/1997,3,Lane-Shoulder Longitudinal Joint Sealing,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",Out-of-study,O,09/01/1993,08/20/2013,,,E,E,E,E,E,E
5,Arkansas,0220,1,09/01/1993,,,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",Out-of-study,O,09/01/1993,08/20/2013,,,E,E,E,E,E,E
5,Arkansas,0220,2,02/04/1997,3,Lane-Shoulder Longitudinal Joint Sealing,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",Out-of-study,O,09/01/1993,08/20/2013,,,E,E,E,E,E,E
5,Arkansas,0221,1,09/01/1993,,,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",Out-of-study,O,09/01/1993,08/20/2013,,,E,E,E,E,E,E
5,Arkansas,0221,2,02/04/1997,3,Lane-Shoulder Longitudinal Joint Sealing,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",Out-of-study,O,09/01/1993,08/20/2013,,,E,E,E,E,E,E
5,Arkansas,0222,1,09/01/1993,,,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",Out-of-study,O,09/01/1993,08/20/2013,,,E,E,E,E,E,E
5,Arkansas,0222,2,02/04/1997,3,Lane-Shoulder Longitudinal Joint Sealing,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",Out-of-study,O,09/01/1993,08/20/2013,,,E,E,E,E,E,E
5,Arkansas,0223,1,09/01/1993,,,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",Out-of-study,O,09/01/1993,08/20/2013,,,E,E,E,E,E,E
5,Arkansas,0223,2,02/04/1997,3,Lane-Shoulder Longitudinal Joint Sealing,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",Out-of-study,O,09/01/1993,08/20/2013,,,E,E,E,E,E,E
5,Arkansas,0224,1,09/01/1993,,,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",Out-of-study,O,09/01/1993,08/20/2013,,,E,E,E,E,E,E
5,Arkansas,0224,2,06/15/1996,54,Partial depth patching of PCC pavements at joints,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",Out-of-study,O,09/01/1993,08/20/2013,,,E,E,E,E,E,E
5,Arkansas,0800,1,01/01/1996,,,S,Specific Pavement Studies,8,Study of Environmental Effects in the Absence of Heavy Loads,,,01/01/1996,,,,E,E,E,,E,E
5,Arkansas,0803,1,01/01/1996,,,S,Specific Pavement Studies,8,Study of Environmental Effects in the Absence of Heavy Loads,,,01/01/1996,,,,E,E,E,E,E,E
5,Arkansas,0804,1,01/01/1996,,,S,Specific Pavement Studies,8,Study of Environmental Effects in the Absence of Heavy Loads,,,01/01/1996,,,,E,E,E,E,E,E
5,Arkansas,0809,1,01/01/1996,,,S,Specific Pavement Studies,8,Study of Environmental Effects in the Absence of Heavy Loads,,,01/01/1996,,,,E,E,E,E,E,E
5,Arkansas,0810,1,01/01/1996,,,S,Specific Pavement Studies,8,Study of Environmental Effects in the Absence of Heavy Loads,,,01/01/1996,,,,E,E,E,E,E,E
5,Arkansas,2042,1,01/01/1987,,,G,General Pavement Studies,2,Asphalt Concrete on Bound Base,Out-of-study,O,01/01/1987,10/01/1993,,,E,E,E,E,E,E
5,Arkansas,2042,2,05/15/1993,22,Manual Premix Spot Patch (hand spreading and compacting with roller),G,General Pavement Studies,2,Asphalt Concrete on Bound Base,Out-of-study,O,01/01/1987,10/01/1993,,,E,E,E,E,E,E
5,Arkansas,3048,1,01/01/1987,,,G,General Pavement Studies,2,Asphalt Concrete on Bound Base,Out-of-study,O,01/01/1987,12/01/2004,,,E,E,E,E,E,E
5,Arkansas,3058,1,11/01/1989,,,G,General Pavement Studies,2,Asphalt Concrete on Bound Base,Out-of-study,O,11/01/1989,10/06/1995,,,E,E,E,E,E,E
5,Arkansas,3058,2,10/06/1995,19,Asphalt Concrete Overlay,G,General Pavement Studies,6B,"AC Overlay with Conventional Asphalt Cement on AC Pavement, No Milling",Out-of-study,O,10/06/1995,05/15/2008,,,E,E,E,E,E,E
5,Arkansas,3059,1,01/01/1987,,,G,General Pavement Studies,4,Jointed Reinforced Concrete Pavement (JPCP),Out-of-study,O,01/01/1987,09/05/2001,,,E,E,E,E,E,E
5,Arkansas,3071,1,01/31/1988,,,G,General Pavement Studies,2,Asphalt Concrete on Bound Base,Out-of-study,O,01/31/1988,04/01/2004,,,E,E,E,E,E,E
5,Arkansas,3071,2,09/16/1996,33,Slurry Seal Coat,G,General Pavement Studies,2,Asphalt Concrete on Bound Base,Out-of-study,O,01/31/1988,04/01/2004,,,E,E,E,E,E,E
5,Arkansas,3073,1,01/01/1987,,,G,General Pavement Studies,4,Jointed Reinforced Concrete Pavement (JPCP),Out-of-study,O,01/01/1987,06/02/2003,,,E,E,E,E,E,E
5,Arkansas,3074,1,01/01/1987,,,G,General Pavement Studies,4,Jointed Reinforced Concrete Pavement (JPCP),Out-of-study,O,01/01/1987,07/07/2001,,,E,E,E,E,E,E
5,Arkansas,3074,2,03/13/1997,3,Lane-Shoulder Longitudinal Joint Sealing,G,General Pavement Studies,4,Jointed Reinforced Concrete Pavement (JPCP),Out-of-study,O,01/01/1987,07/07/2001,,,E,E,E,E,E,E
5,Arkansas,4019,1,01/01/1987,,,G,General Pavement Studies,4,Jointed Reinforced Concrete Pavement (JPCP),Out-of-study,O,01/01/1987,08/01/2016,,,E,E,E,E,E,E
5,Arkansas,4021,1,01/01/1987,,,G,General Pavement Studies,4,Jointed Reinforced Concrete Pavement (JPCP),Out-of-study,O,01/01/1987,08/01/2016,,,E,E,E,E,E,E
5,Arkansas,4023,1,01/01/1987,,,G,General Pavement Studies,4,Jointed Reinforced Concrete Pavement (JPCP),Out-of-study,O,01/01/1987,04/01/1999,,,E,E,E,E,E,E
5,Arkansas,4046,1,01/01/1987,,,G,General Pavement Studies,4,Jointed Reinforced Concrete Pavement (JPCP),Out-of-study,O,01/01/1987,08/01/2016,,,E,E,E,E,E,E
5,Arkansas,4046,2,10/15/1996,"4,2",,G,General Pavement Studies,4,Jointed Reinforced Concrete Pavement (JPCP),Out-of-study,O,01/01/1987,08/01/2016,,,E,E,E,E,E,E
5,Arkansas,A300,1,01/01/1987,,,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,04/01/2004,,,E,E,E,,E,E
5,Arkansas,A310,1,01/01/1987,,,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,04/01/2004,,,E,E,E,E,E,E
5,Arkansas,A310,2,10/15/1990,19,Asphalt Concrete Overlay,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,04/01/2004,,,E,E,E,E,E,E
5,Arkansas,A320,1,01/01/1987,,,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,04/01/2004,,,E,E,E,E,E,E
5,Arkansas,A320,2,09/04/1990,33,Slurry Seal Coat,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,01/01/1987,04/01/2004,,,E,E,E,E,E,E
49,Utah,C447,2,10/24/1990,"2,3",,S,Specific Pavement Studies,4,Preventive Maintenance of Jointed Concrete Pavement,Out-of-study,O,01/01/1988,03/01/2006,,S,E,E,E,E,E,E
49,Utah,C448,1,01/01/1988,,,S,Specific Pavement Studies,4,Preventive Maintenance of Jointed Concrete Pavement,Out-of-study,O,01/01/1988,03/01/2006,,S,E,E,E,E,E,E
49,Utah,C448,2,10/24/1990,"2,3",,S,Specific Pavement Studies,4,Preventive Maintenance of Jointed Concrete Pavement,Out-of-study,O,01/01/1988,03/01/2006,,S,E,E,E,E,E,E
49,Utah,C449,1,01/01/1988,,,S,Specific Pavement Studies,4,Preventive Maintenance of Jointed Concrete Pavement,Out-of-study,O,01/01/1988,03/01/2006,,S,E,E,E,E,E,E
49,Utah,C449,2,10/24/1990,"2,3",,S,Specific Pavement Studies,4,Preventive Maintenance of Jointed Concrete Pavement,Out-of-study,O,01/01/1988,03/01/2006,,S,E,E,E,E,E,E
49,Utah,C450,1,01/01/1988,,,S,Specific Pavement Studies,4,Preventive Maintenance of Jointed Concrete Pavement,Out-of-study,O,01/01/1988,03/01/2006,,S,E,E,E,E,E,E
49,Utah,C450,2,10/24/1990,"2,3",,S,Specific Pavement Studies,4,Preventive Maintenance of Jointed Concrete Pavement,Out-of-study,O,01/01/1988,03/01/2006,,S,E,E,E,E,E,E
49,Utah,C451,1,01/01/1988,,,S,Specific Pavement Studies,4,Preventive Maintenance of Jointed Concrete Pavement,Out-of-study,O,01/01/1988,03/01/2006,,S,E,E,E,E,E,E
49,Utah,C452,1,01/01/1988,,,S,Specific Pavement Studies,4,Preventive Maintenance of Jointed Concrete Pavement,Out-of-study,O,01/01/1988,03/01/2006,,S,E,E,E,E,E,E
49,Utah,C452,2,10/24/1990,"2,3",,S,Specific Pavement Studies,4,Preventive Maintenance of Jointed Concrete Pavement,Out-of-study,O,01/01/1988,03/01/2006,,S,E,E,E,E,E,E
49,Utah,C453,1,01/01/1988,,,S,Specific Pavement Studies,4,Preventive Maintenance of Jointed Concrete Pavement,Out-of-study,O,01/01/1988,03/01/2006,,S,E,E,E,E,E,E
49,Utah,C454,1,01/01/1988,,,S,Specific Pavement Studies,4,Preventive Maintenance of Jointed Concrete Pavement,Out-of-study,O,01/01/1988,03/01/2006,,S,E,E,E,E,E,E
49,Utah,C454,2,10/24/1990,"2,3",,S,Specific Pavement Studies,4,Preventive Maintenance of Jointed Concrete Pavement,Out-of-study,O,01/01/1988,03/01/2006,,S,E,E,E,E,E,E
49,Utah,C455,1,01/01/1988,,,S,Specific Pavement Studies,4,Preventive Maintenance of Jointed Concrete Pavement,Out-of-study,O,01/01/1988,03/01/2006,,S,E,E,E,E,E,E
49,Utah,C455,2,10/24/1990,"2,3",,S,Specific Pavement Studies,4,Preventive Maintenance of Jointed Concrete Pavement,Out-of-study,O,01/01/1988,03/01/2006,,S,E,E,E,E,E,E
